,Rank (2017),City,Counties,State,Mayor,Nickname,Population Estimate (2017),2010 Census,Change,2016 Land Area (sq mi),2016 Population Density (per sq mi),"Location (N,W)"
193,194.0,Thornton,Thornton,Colorado,Heidi K. Williams ,None,139436,118772,+17.40%,35.7,3829,"(39.9194, 104.9428)"
194,195.0,Roseville,Placer,California,Susan Rohan,None,139117,118788,+17.11%,43.0,3085,"(38.7690, 121.3189)"
195,196.0,Denton,Denton,Texas,Chris Watts, Little D,138541,113383,+22.19%,93.4,1433,"(33.2166, 97.1414)"
196,197.0,Waco,"Mc, Lennan",Texas,Kyle Deaver,"""Heart of Texas""",138183,124805,+10.72%,89.0,1510,"(31.5601, 97.1860)"
197,198.0,Surprise,Maricopa,Arizona,Skip Hall,None,138161,117517,+17.57%,107.9,1230,"(33.6706, 112.4527)"
198,199.0,Carrollton,"Denton, Dallas, Collin",Texas,Kevin Falconer,None,136879,119097,+14.93%,36.3,3674,"(32.9884, 96.8998)"
199,200.0,West Valley City,Salt Lake,Utah,Ron Bigelow ,None,136401,129480,+5.35%,35.5,3847,"(40.6885, 112.0118)"
200,201.0,Charleston,"Charleston, Berkeley",South Carolina,John Tecklenburg ,"""The Holy City""",136208,120083,+13.43%,109.0,1233,"(32.8179, 79.9590)"
201,202.0,Warren,Macomb,Michigan,James R. Fouts ,None,134587,134056,+0.40%,34.4,3928,"(42.4929, 83.0250)"
202,203.0,Hampton,None (Independent city),Virginia,Donnie Tuck ,None,134313,137436,-2.27%,51.5,2629,"(37.0480, 76.2971)"
203,204.0,Gainesville,Alachua,Florida,Lauren Poe ," ""Gville""",133857,124354,+7.64%,62.3,2112,"(29.6788, 82.3461)"
204,205.0,Visalia,Tulare,California,Warren Gubler,Gateway to the Sequoias,133800,124442,+7.52%,37.5,3495,"(36.3273, 119.3289)"
205,206.0,Coral Springs,Broward,Florida,Skip Campbell and Lou Cimaglia,None,133507,121096,+10.25%,23.8,5465,"(26.2707, 80.2593)"
206,207.0,Columbia,"Richland, Lexington",South Carolina,Stephen K. Benjamin ,None,133451,129272,+3.23%,133.5,1006,"(34.0291, 80.8980)"
207,208.0,Cedar Rapids,Linn,Iowa,Brad Hart , City of Five Seasons,133174,126326,+5.42%,70.8,1852,"(41.9670, 91.6778)"
208,209.0,Sterling Heights,Macomb,Michigan,Michael C. Taylor,None,132964,129699,+2.52%,36.5,3628,"(42.5812, 83.0303)"
209,210.0,New Haven,New Haven,Connecticut,Toni Harp ,The Elm City,130418,129779,+0.49%,18.7,6948,"(41.3108, 72.9250)"
210,211.0,Stamford,Fairfield,Connecticut,David Martin ,Innovating Since 1641,129775,122643,+5.82%,37.6,3434,"(41.0799, 73.5460)"
211,212.0,Concord,Contra Costa,California,Carlyn Obringer,None,129688,122067,+6.24%,30.5,4221,"(37.9722, 122.0016)"
212,213.0,Kent,King,Washington,Dana Ralph ,None,129618,92411,+40.26%,33.7,3784,"(47.3880, 122.2127)"
213,214.0,Santa Clara,Santa Clara,California,Lisa Gillmor,None,129488,116468,+11.18%,18.4,6845,"(37.3646, 121.9679)"
214,215.0,Elizabeth,Union,New Jersey,"J. Christian ""Chris"" Bollwage (D",None,128885,124969,+3.13%,12.3,10459,"(40.6664, 74.1935)"
215,216.0,Round Rock,"Williamson, Travis",Texas,Craig Morgan,None,128739,99887,+28.88%,35.6,3396,"(30.5252, 97.6660)"
216,217.0,Thousand Oaks,Ventura,California,Andy Fox ,None,127690,126683,+0.79%,55.2,2335,"(34.1933, 118.8742)"
